Texts,Languages
நான் உணவை சமைப்பதை மிகவும் விரும்புகிறேன்.,Tamil
எனக்கு வானவில் பார்க்க விருப்பம் உள்ளது.,Tamil
நாம் அனைவரும் வேலை செய்ய வேண்டும்.,Tamil
இந்த மரங்கள் பச்சையாக உள்ளன.,Tamil
நான் இன்று ஒரு விலங்கு பார்க்கிறேன்.,Tamil
இந்த புத்தகங்களை வாங்குங்கள்.,Tamil
இப்போது நீங்கள் வீட்டிற்கு செல்லலாம்.,Tamil
நான் இன்று கண்ணாடியை மாற்றினேன்.,Tamil
இங்கே மிகவும் சுத்தமாக உள்ளது.,Tamil
எனக்கு புதிய பாத்திரங்கள் கிடைத்தன.,Tamil
இன்று நாம் ஒவ்வொரு நாளும் பறவை பார்க்கிறோம்.,Tamil
நான் அவரை பார்க்க விரும்புகிறேன்.,Tamil
இந்த இடம் மிக அழகாக உள்ளது.,Tamil
இப்போது நீங்கள் உங்கள் வீட்டிற்கு செல்லுங்கள்.,Tamil
இன்று என்னுடைய சைக்கிள் சீரமைக்கப்பட்டது.,Tamil
இப்போது நான் புத்தகத்தை படிக்கிறேன்.,Tamil
நான் இன்று ஒரு புதிய போட்டோ எடுப்பேன்.,Tamil
இங்கே மிகவும் காற்று மாறுகின்றது.,Tamil
நான் நேற்று ஒரு நாயை பார்த்தேன்.,Tamil
இப்போது பள்ளி மாணவர்கள் விளையாடுகிறார்கள்.,Tamil
நீங்கள் உங்கள் புத்தகத்தை எடுத்து செல்லுங்கள்.,Tamil
இங்கு குளிர் சீசன் தொடங்கிவிட்டது.,Tamil
நான் ஒருநாள் பரிசு பெற்றேன்.,Tamil
இப்போது மழை பெய்கிறது.,Tamil
நான் ஒரு சிறந்த சமைப்பாளர்.,Tamil
இந்த வாகனம் மிகவும் வேகமாக செல்கிறது.,Tamil
அவளுக்கு மிகவும் அழகான தலை இருக்கிறது.,Tamil
இந்த இடம் மிக அமைதியாக உள்ளது.,Tamil
நீங்கள் என் நண்பர்.,Tamil
இந்த கண்ணாடி மிகவும் பரவியது.,Tamil
அவன் ஒரு சிறந்த மாணவன்.,Tamil
நீங்கள் எப்போது வீட்டிற்கு வருவீர்கள்?,Tamil
இப்போது வானம் மேகமூட்டமாக உள்ளது.,Tamil
நான் ஒரு புதிய பேன்க் வாங்கினேன்.,Tamil
இந்த இடம் மிகவும் அமைதியாக உள்ளது.,Tamil
இப்பொழுது நீங்கள் என்ன செய்கிறீர்கள்?,Tamil
அவன் வேலைக்கு சென்று விட்டான்.,Tamil
நீங்கள் எப்போது வேலை முடிக்கவீர்கள்?,Tamil
நான் இன்று ஒரு புத்தகம் வாங்கினேன்.,Tamil
இங்கே மிகவும் காற்று அதிகமாக உள்ளது.,Tamil
நான் பள்ளிக்குச் செல்கிறேன்.,Tamil
இப்பொழுது நான் வேலை செய்கிறேன்.,Tamil
அவள் நல்ல நண்பர்.,Tamil
அவள் தினமும் பாடம் படிக்கிறாள்.,Tamil
அவன் ஒரு நல்ல விளையாட்டு வீரர்.,Tamil
இது என்னுடைய வீட்டின் பகுதி.,Tamil
நான் புதிய வேலைக்கு சேர்கிறேன்.,Tamil
அவர் ஒரு நன்மகன்.,Tamil
நான் இங்கு ஒவ்வொரு நாளும் வருகிறேன்.,Tamil
இந்த இடம் மிகவும் பசுமையாக உள்ளது.,Tamil
இங்கே மிகவும் குளிராக உள்ளது.,Tamil
இது ஒரு மிக நன்றாக விளையாட்டாக உள்ளது.,Tamil
நான் இதற்கு முன்னர் இந்த இடத்தில் வந்தேன்.,Tamil
இப்போது நீங்கள் என்ன செய்கிறீர்கள்?,Tamil
இப்போது மிகவும் மழை பெய்கிறது.,Tamil
அவன் ஒரு நல்ல நண்பன்.,Tamil
நான் அவரை நாளை சந்திக்கிறேன்.,Tamil
இன்று நான் ஒரு புத்தகம் வாசிக்கிறேன்.,Tamil
இங்கு மிகவும் அமைதியாக உள்ளது.,Tamil
நான் இப்போது ஒரு படம் பார்க்கிறேன்.,Tamil
இந்த இடம் மிகவும் அழகாக உள்ளது.,Tamil
ഇന്ന് കാലാവസ്ഥ തണുത്തിരിക്കുന്നു.,Malayalam
ഞാൻ പുസ്തകങ്ങൾ വായിക്കുന്നുണ്ട്.,Malayalam
അവൻ സ്കൂളിലേക്ക് പോകുകയാണ്.,Malayalam
ഇന്ന് മഴ പെയ്യും.,Malayalam
നിനക്ക് എന്ത് ചെയ്യാനുണ്ട്?,Malayalam
അവൾ പാട്ട് പാടാൻ ഇഷ്ടപ്പെടുന്നു.,Malayalam
നിങ്ങൾ ഞങ്ങളെ സഹായിക്കുമോ?,Malayalam
അവൾക്ക് പണി തീർന്നില്ല.,Malayalam
അവൻ നല്ല സുഹൃത്താണ്.,Malayalam
നാളെ ഞങ്ങൾ പൂർണ്ണചന്ദ്രൻ കാണും.,Malayalam
അവർ തുണികൾ വാങ്ങാൻ പോയി.,Malayalam
സ്കൂളിൽ പുതിയ പ്രിൻസിപ്പൽ ഉണ്ടാക്കി.,Malayalam
എനിക്ക് കാർ ഓടിക്കാൻ ഇഷ്ടമുണ്ട്.,Malayalam
അവൻ പുസ്തകം വായിച്ചു കഴിഞ്ഞു.,Malayalam
അവൾ നേരത്തെ ഇറങ്ങി.,Malayalam
നിങ്ങൾ എന്റെ വീട്ടിൽ വരുമോ?,Malayalam
അവൻ നല്ല കളിക്കാരനാണ്.,Malayalam
ഞാൻ തോറും സിനിമ കാണാൻ പോകുന്നു.,Malayalam
സ്കൂളിൽ കുട്ടികൾ കളിക്കുന്നു.,Malayalam
എനിക്ക് പുതിയ കുപ്പായം വാങ്ങാൻ ആഗ്രഹമുണ്ട്.,Malayalam
ഇന്ന് ഞാൻ ജോലി പൂർത്തിയാക്കി.,Malayalam
അവൾ പാചകം ചെയ്തു.,Malayalam
ഞങ്ങളുടെ വീട്ടിൽ ആൽമരം ഉണ്ട്.,Malayalam
ഈ പൂ നന്നായി മണം വഹിക്കുന്നു.,Malayalam
നിങ്ങൾ എപ്പോഴാണ് തിരിച്ച് പോകുന്നത്?,Malayalam
അവൻ പുഞ്ചിരി മിടിച്ചു.,Malayalam
ഞാൻ നിന്നെ ഇഷ്ടപ്പെടുന്നു.,Malayalam
അവൻ ജോലിക്ക് പോയി.,Malayalam
നിനക്ക് എന്താണ് വേണ്ടത്?,Malayalam
ഇന്ന് ഭക്ഷണം ഉണ്ടാക്കാൻ പഠിച്ചു.,Malayalam
ഈ മഴയുടെ ശബ്ദം മനോഹരമാണ്.,Malayalam
ഇന്ന് ഞങ്ങൾ പൂന്തോട്ടത്തിൽ പോയി.,Malayalam
അവൾ സിനിമ കാണാൻ പോയി.,Malayalam
ഞങ്ങളുടെ ക്ലാസിൽ പുതിയ വിദ്യാർത്ഥി എത്തിയിരിക്കുന്നു.,Malayalam
നിനക്ക് പത്തിനെന്ത് വേണ്ടി?,Malayalam
ഇന്നു ഞങ്ങൾ പഠനത്തിനായി പാഠം തയ്യാറാക്കി.,Malayalam
അവൾക്ക് നല്ല പാട്രോൺ ഉണ്ട്.,Malayalam
അവൻ ഒരു വിജയിയാണ്.,Malayalam
അവൾ പോസ്റ്റ്മാന്നുമായി സംസാരിച്ചു.,Malayalam
ഇന്നലെ ഞങ്ങൾ സിനിമ കാണാൻ പോയി.,Malayalam
നിനക്ക് നല്ല ചിത്രം കാണുവാൻ ആഗ്രഹമുണ്ട്.,Malayalam
എനിക്ക് സംഗീതം പഠിക്കാൻ ഇഷ്ടപ്പെടുന്നു.,Malayalam
അവൻ നായയെ വളർത്തി.,Malayalam
നിങ്ങൾ ഇതെല്ലാം പൂർത്തിയാക്കി.,Malayalam
നാളെ നമ്മൾ യാത്ര പോകും.,Malayalam
അവൾ സ്കൂളിൽ കലാകാരിയാണ്.,Malayalam
ഞാൻ മഴയിലുണ്ടായിരിക്കുന്നു.,Malayalam
അവൻ ആദ്യമായിട്ട് ഒരു കഥയുണ്ടാക്കി.,Malayalam
നിങ്ങൾ പാട്ടുകൾ പാടുന്നത് കേട്ടു.,Malayalam
ഞങ്ങളുടെ വീട്ടിൽ പുതിയ ടെലിവിഷൻ ഉണ്ട്.,Malayalam
അവൾക്ക് പുതിയ സൈക്കിൾ വാങ്ങിക്കൊടുത്തു.,Malayalam
ഇന്നലെ നമ്മൾ കോഴിക്കോട്ട് പോയി.,Malayalam
അവൻ ജോലിക്ക് പോയി.,Malayalam
അവൾക്ക് പുസ്തകങ്ങൾ വായിക്കാൻ ഇഷ്ടമുണ്ട്.,Malayalam
നിങ്ങൾക്ക് സ്‌നേഹം നൽകിയത് നന്നായിരുന്നു.,Malayalam
ഞങ്ങൾ നിങ്ങളെ കാണും.,Malayalam
ഞാൻ സ്കൂളിൽ പഠിക്കുന്നു.,Malayalam
അവൻ നല്ല കളിക്കാരനാണ്.,Malayalam
നിനക്ക് എന്താണ് വേണ്ടത്?,Malayalam
ഇന്ന് പാഠം പഠിക്കാനുണ്ടെന്ന് കരുതുന്നു.,Malayalam
ഞാൻ നല്ല വിദ്യാർത്ഥിയാകാൻ ആഗ്രഹിക്കുന്നു.,Malayalam
നാളെ പരീക്ഷയുണ്ട്.,Malayalam
ഇന്ന് സ്കൂളിൽ ക്ലാസ് അടച്ചിരിക്കുന്നു.,Malayalam
ഞാൻ നിനക്ക് മധുരം കൊണ്ട് വരാം.,Malayalam
നിനക്ക് പുസ്തകം എഴുതാൻ കഴിയും.,Malayalam
അവൾ പുസ്തകം വായിക്കുകയാണ്.,Malayalam
അവൻ പുതിയ ജോലിക്ക് പോയി.,Malayalam
നിന്റെ അടുത്ത പാഠം എപ്പോൾ തുടങ്ങുന്നു?,Malayalam
നിന്റെ സ്വപ്നങ്ങൾ പൂർത്തിയാക്കുക.,Malayalam
അവൾ നല്ല എഴുത്തുകാരിയാണ്.,Malayalam
നമുക്ക് സിനിമ കാണാൻ പോകാം.,Malayalam
നിനക്ക് പരീക്ഷ നന്നായിരുന്നോ?,Malayalam
ഞാൻ വെള്ളം കുടിച്ചു.,Malayalam
നിങ്ങൾ വീട്ടിൽ പഠിക്കാൻ കഴിയും.,Malayalam
അവൾ ഓരോ ദിവസവും പുതിയ കലയുണ്ടാക്കുന്നു.,Malayalam
നിനക്ക് പുതിയ പാട്ട് പാടാൻ കഴിയും.,Malayalam
ഇന്ന് തണുത്ത കാലാവസ്ഥയാണ്.,Malayalam
നിനക്ക് സ്കൂൾ മോനോലോഗ് പഠിക്കാം.,Malayalam
അവർ നാളെ പോസ്റ്റ് ഓഫീസിൽ പോകും.,Malayalam
അവൾ നിന്റെ മാതാവിനോട് സംസാരിച്ചു.,Malayalam
നിന്റെ സ്കൂൾ അവധി എപ്പോൾ തുടങ്ങുന്നു?,Malayalam
നിനക്ക് കാർ ഓടിക്കാൻ കഴിയും.,Malayalam
നിനക്ക് പുസ്തകം വായിക്കാൻ ഇഷ്ടമുണ്ടോ?,Malayalam
നിനക്ക് ഇന്ന് വീട്ടിൽ ജോലികളുണ്ട്.,Malayalam
അവൻ കളിയിലിറങ്ങി.,Malayalam
അവൾ സിനിമ കാണാൻ പോയി.,Malayalam
നിനക്ക് നൃത്തം പാഠം പഠിക്കാം.,Malayalam
അവൾ നല്ല പാചകരാണ്.,Malayalam
നിനക്ക് പാട്ട് പഠിക്കാൻ കഴിയും.,Malayalam
അവൻ കടയിലെ മൊത്തം വിൽപ്പനക്കാരൻ.,Malayalam
നിനക്ക് പുതിയ പാഠം പഠിക്കാം.,Malayalam
നിനക്ക് നൃത്തം പഠിക്കാൻ കഴിയും.,Malayalam
നിനക്ക് സ്കൂളിൽ പരീക്ഷയെഴുതാൻ കഴിയും.,Malayalam
നിനക്ക് ഉപന്യാസം എഴുതാം.,Malayalam
നിന്റെ ഡോക്ടർ കല്യാണം കഴിക്കുന്നു.,Malayalam
നിനക്ക് പുത്രൻ ഉണ്ടോ?,Malayalam
നിനക്ക് ജോലിക്ക് പോകാൻ കഴിയില്ല.,Malayalam
നിനക്ക് പാട്ട് പാടാം.,Malayalam
നിനക്ക് പാത്രം കഴുകി.,Malayalam
നിനക്ക് സ്കൂളിൽ പഠിക്കാം.,Malayalam
നിനക്ക് മോഡൽ പരീക്ഷ എഴുതാം.,Malayalam
നിനക്ക് കളിച്ചുറങ്ങാം.,Malayalam
നിന്റെ ടീച്ചർ മിടുക്കൻ ആണ്.,Malayalam
അവൻ ഉച്ചഭക്ഷണം കഴിച്ചിട്ടില്ല.,Malayalam
നിന്റെ വീട് വളരെ മനോഹരമാണ്.,Malayalam
നിന്റെ സ്കൂൾ പൂർത്തിയായി.,Malayalam
അവൻ നായയെ പരിപാലിക്കുന്നു.,Malayalam
നിനക്ക് പഴങ്ങൾ കഴിക്കാൻ ഇഷ്ടമാണോ?,Malayalam
അവൻ നല്ല പഠനക്കാരനാണ്.,Malayalam
നിനക്ക് ഉറങ്ങാൻ കഴിയുമോ?,Malayalam
നിന്റെ സിനിമകളുടെ വിശകലനം മികച്ചതാണ്.,Malayalam
അവൾ നല്ല ഡോക്ടറാണ്.,Malayalam
നിനക്ക് പൂക്കൾ നട്ടു വെക്കാൻ കഴിയും.,Malayalam
നിന്റെ വീടിനോട് സ്നേഹം കാണിച്ചുവോ?,Malayalam
നിനക്ക് പാട്ട് പാടാൻ കഴിയും.,Malayalam
നിനക്ക് മധുരം കഴിക്കാൻ ഇഷ്ടമുണ്ടോ?,Malayalam
നിന്റെ ലഘുലേഖ നല്ലതാണ്.,Malayalam
നിനക്ക് ഇപ്പോൾ പാട്ട് പഠിക്കാൻ കഴിയും.,Malayalam
നിന്റെ വീട്ടിലെ പൂക്കൾ വളരെ മനോഹരമാണ്.,Malayalam
നിന്റെ മാതാവിനെ കാണാൻ പോകുന്നു.,Malayalam
നിന്റെ ഫോട്ടോ എഴുതാൻ കഴിയും.,Malayalam
നിന്റെ സഹപാഠികൾ നിനക്ക് സഹായിച്ചു.,Malayalam
നിന്റെ പുതിയ വരയ്ക്കൽ വളരെ നല്ലതാണ്.,Malayalam
നിന്റെ വീട് പഠനത്തിന് അനുയോജ്യമാണ്.,Malayalam
നിനക്ക് കളിച്ച് സമാധാനമാക്കാം.,Malayalam
നിന്റെ വീട്ടിലെ പൂന്തോട്ടം മനോഹരമാണ്.,Malayalam
നിന്റെ സഹോദരൻ നല്ല ഡോക്ടറാണ്.,Malayalam
നിന്റെ സ്കൂളിലെ പാഠങ്ങൾ വളരെ മനോഹരമാണ്.,Malayalam
നിനക്ക് ഈ പ്രഭാതത്തിൽ പാട്ട് പഠിക്കാൻ കഴിയും.,Malayalam
നിന്റെ വീട് മികച്ചവയാണ്.,Malayalam
നിന്റെ ഭാവനകളെ സ്നേഹിക്കുന്നു.,Malayalam
നിന്റെ സഹോദരൻ പരീക്ഷയിൽ വിജയിച്ചു.,Malayalam
നിന്റെ കുട്ടികൾ നന്നായിരിക്കുന്നു.,Malayalam
നിന്റെ വീട്ടിലെ പൂക്കൾ നിറഞ്ഞു നിൽക്കുന്നു.,Malayalam
നിന്റെ പൂന്തോട്ടം മനോഹരമാക്കി.,Malayalam
നിന്റെ സഹോദരൻ നല്ല നൃത്തം പഠിക്കുന്നു.,Malayalam
നിന്റെ പാട്ടുകൾ വളരെ മനോഹരമാണ്.,Malayalam
നിന്റെ പാഠങ്ങൾ പൂർത്തിയാക്കി.,Malayalam
നിന്റെ വീട്ടിലെ പൂന്തോട്ടം പച്ചയായി.,Malayalam
നിന്റെ സഹോദരൻ നല്ല മാർക്കുമായി പഠിക്കുന്നു.,Malayalam
നിന്റെ ഫോട്ടോ പഠിക്കാൻ പറ്റും.,Malayalam
നിന്റെ പച്ചക്കറികൾ പൂർത്തിയായി.,Malayalam
നിന്റെ വീട് സുഗന്ധമായ പൂക്കളാൽ നിറഞ്ഞിരിക്കുന്നു.,Malayalam
നിന്റെ പഠനം പൂർത്തിയായി.,Malayalam
നിന്റെ കുട്ടികൾക്കൊപ്പം പാഠങ്ങൾ പഠിച്ചു.,Malayalam
നിന്റെ ടീച്ചർ നിന്റെ പാഠങ്ങളെ സ്വാധീനിച്ചു.,Malayalam
നിന്റെ സഹോദരൻ ഉച്ചയിലേക്ക് വന്നപ്പോഴും പഠിച്ചു.,Malayalam
നിന്റെ മാതാവ് നിനക്ക് പുതിയ പുസ്തകം വാങ്ങിക്കൊടുത്തു.,Malayalam
നിന്റെ പഠനത്തിന് പൂന്തോട്ടത്തിൽ നല്ലവസരം ഉണ്ട്.,Malayalam
നിന്റെ സ്കൂളിൽ പുതിയ അധ്യാപകൻ ഏർപ്പെടുത്തിയിട്ടുണ്ട്.,Malayalam
ಅವನು ಶಾಲೆಗೆ ಹೋಗುತ್ತಾನೆ.,Kannada
ನೀನು ಏನು ಮಾಡುತ್ತಿದ್ದೀಯ?,Kannada
ನಾನು ಕಾಫಿ ಕುಡಿದೆ.,Kannada
ಅವರು ಪಾರ್ಕ್‌ನಲ್ಲಿ ಆಟವಾಡುತ್ತಿದ್ದಾರೆ.,Kannada
ಅವಳು ಹಾಡು ಹಾಡಲು ಇಷ್ಟಪಡುತ್ತಾಳೆ.,Kannada
ಇಲ್ಲಿ ಮಳೆ ಬೀಳುತ್ತಿದೆ.,Kannada
ಅವನು ಕೆಲಸಕ್ಕೆ ಹೋಗಿದ್ದಾನೆ.,Kannada
ನಾವು ನಾಳೆ ಬೆಂಗಳೂರಿಗೆ ಹೋಗುತ್ತಿದ್ದೇವೆ.,Kannada
ನನ್ನೊಡನೆ ಬರ್ತೀಯಾ?,Kannada
ಅವನು ಕೆಲಸ ಮುಗಿಸಿ ಮನೆಗೆ ಬಂದ.,Kannada
ನಿನ್ನ ಹೊಸ ಪುಸ್ತಕದ ಬಗ್ಗೆ ಹೇಗಿದೆ?,Kannada
ಅವಳು ಪ್ರತಿ ದಿನ ಯೋಗ ಮಾಡುತ್ತಾಳೆ.,Kannada
ಈ ಮಕ್ಕಳು ಯಾವಾಗಲೂ ಜಗಳ ಮಾಡುತ್ತವೆ.,Kannada
ನನಗೆ ಆ ಕಾದಂಬರಿ ಇಷ್ಟವಾಯಿತು.,Kannada
ರೈಲು ಎಷ್ಟು ಹೊತ್ತಿಗೆ ಬರುತ್ತದೆ?,Kannada
ಈ ಹೂವಿನ ಬಣ್ಣ ಸುಂದರವಾಗಿದೆ.,Kannada
ನಾನು ನನಗೆ ಬಿಸಿಲು ನೋಡಲು ಇಷ್ಟವಾಗಿದೆ.,Kannada
ಅವನು ಒಳ್ಳೆಯ ಚಿತ್ರಕಾರನು.,Kannada
ಈ ಬಾಳೆಹಣ್ಣು ಸಿಹಿ.,Kannada
ನಾನು ನಾಳೆ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ.,Kannada
ಇಲ್ಲಿ ಗಾಳಿ ತುಂಬಾ ಶೀತವಾಗಿದೆ.,Kannada
ಅವನು ಸಹಾಯ ಮಾಡಬೇಕು.,Kannada
ಈ ಮರ ಹಣ್ಣುಗಳನ್ನು ಕೊಡುತ್ತದೆ.,Kannada
ನಾನು ನನ್ನ ತಾಯಿಯನ್ನು ನೋಡಬೇಕು.,Kannada
ಶಾಲಾ ವಿದ್ಯಾರ್ಥಿಗಳು ಪಾಠವನ್ನು ಓದುತ್ತಿದ್ದಾರೆ.,Kannada
ನನ್ನ ಚಿಕ್ಕಣ್ಣ ಒಳ್ಳೆಯ ಚಿತ್ರಕಾರ.,Kannada
ನನ್ನ ಅಜ್ಜಿಯ ಊಟ ರುಚಿ ಇತ್ತು.,Kannada
ನೀನು ಯಾವಾಗ ಕೆಲಸ ಮುಗಿಸುತ್ತೀಯಾ?,Kannada
ಅವಳು ಮಳೆಯನ್ನು ಇಷ್ಟಪಡುತ್ತಾಳೆ.,Kannada
ನಾವು ಇವತ್ತು ರಾತ್ರಿ ಊಟ ಮಾಡಿದ್ದೇವೆ.,Kannada
ಇದು ಕಷ್ಟದ ಕೆಲಸ.,Kannada
ಇಂದು ಶಾಲೆಯಲ್ಲಿ ಏನು ಕಲಿತಿದ್ದೀರಿ?,Kannada
ಅವನು ಪುಸ್ತಕವನ್ನು ಕೊಳ್ಳಲು ಹೋದನು.,Kannada
ಇಲ್ಲಿ ಗಾಳಿ ತುಂಬಾ ಸ್ವಚ್ಛವಾಗಿದೆ.,Kannada
ಅವನಿಗೆ ಹೊಸ ಕೆಲಸ ಸಿಕ್ಕಿತು.,Kannada
ಇದು ನನ್ನ ಮೊಬೈಲ್ ಫೋನ್.,Kannada
ಅವನು ಒಳ್ಳೆಯ ಸ್ನೇಹಿತ.,Kannada
ಈ ವಾರ ಶಾಲೆಗೆ ರಜೆ.,Kannada
ನೀನು ಏನು ಮಾಡುತ್ತಿದ್ದೀಯೆ?,Kannada
ನಾನು ಮನೆಗೆ ಹಿಂದಿರುಗಿದ್ದೇನೆ.,Kannada
ತಂದೆ ಕೆಲಸಕ್ಕೆ ಹೋದರು.,Kannada
ಅವಳು ಒಳ್ಳೆಯ ಗಾಯಕಿ.,Kannada
ನಾನು ಕಾಫಿ ತೆಗೆದುಕೊಳ್ಳಲು ಇಷ್ಟಪಡುತ್ತೇನೆ.,Kannada
ಮಳೆಯಲ್ಲಿ ನಡೆದು ನನಗೆ ಖುಷಿಯಾಗಿದೆ.,Kannada
ಅವಳು ನಾಳೆ ಏನು ಮಾಡುತ್ತಾಳೆ?,Kannada
ನಾವು ಎಲ್ಲರೂ ಊಟ ಮಾಡುತ್ತಿದ್ದೇವೆ.,Kannada
ಅವನು ನನ್ನ ಒಳ್ಳೆಯ ಸ್ನೇಹಿತ.,Kannada
ನನಗೆ ಕಾರು ಓಡಿಸಲು ಬರುವಂತಾಗಿಯಿದೆ.,Kannada
ನೀವು ಯಾವಾಗಲೂ ಸಮಯಕ್ಕೆ ಬರಬೇಕು.,Kannada
ನಾನು ಕಷ್ಟಪಟ್ಟು ಓದುತ್ತೇನೆ.,Kannada
ಈಗ ಯಾರು ನನಗೆ ಕರೆ ಮಾಡಲಾಗುವುದಿಲ್ಲ.,Kannada
ಈ ಊರು ತುಂಬಾ ಸ್ವಚ್ಛವಾಗಿದೆ.,Kannada
ಇದು ಸುಂದರವಾದ ಕಡಲ ತೀರ.,Kannada
ಈಗ ನೀವು ಏನು ಮಾಡುತ್ತಿದ್ದೀರಿ?,Kannada
ಇಂದು ವಾತಾವರಣ ಮೋಡಗಳಾಗಿದೆ.,Kannada
ಈ ತೋಟ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,Kannada
ನಾನು ಬೋಳವಳಿ ನೋಡಿದೆ.,Kannada
ಇದು ಬಹಳ ರುಚಿಯಾದ ಆಹಾರ.,Kannada
ನಮ್ಮ ಮನೆಗೆ ಹೊಸ ಟಿವಿ ತಂದಿದ್ದೇವೆ.,Kannada
ಇಂದಿನ ಪಾಠ ಕಷ್ಟಕರವಾಗಿದೆ.,Kannada
ಅವನ ಚಿಕ್ಕ ಮಗುವು ತುಂಬಾ ಚಿಕ್ಕವನು.,Kannada
ನಾನು ಇಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದೇನೆ.,Kannada
ಈ ಸ್ಥಳ ತುಂಬಾ ಶಾಂತವಾಗಿದೆ.,Kannada
ನೀವು ಈ ಕಾರ್ಯಕ್ರಮವನ್ನು ನೋಡಿದ್ದೀರಾ?,Kannada
ನಾನು ಮಳೆಯಲ್ಲಿ ಉಳಿತಿದ್ದೆ.,Kannada
ಅವಳು ಶಾಲೆಯಲ್ಲಿ ಮೊದಲ ಸ್ಥಾನ ಪಡೆದಳು.,Kannada
ಇಂದು ಬೆಳಗ್ಗೆ ನಾನು ವ್ಯಾಯಾಮ ಮಾಡಿದೆ.,Kannada
ಈ ಮಾವು ತುಂಬಾ ಸಿಹಿಯಾಗಿದೆ.,Kannada
ಈ ಹಸಿರು ಹುಲ್ಲು ಚೆನ್ನಾಗಿದೆ.,Kannada
ಅವನು ನನ್ನನ್ನು ಭೇಟಿಯಾಗಲು ಬಯಸುತ್ತಾನೆ.,Kannada
ನೀವು ಏನು ಮಾಡಲು ಬಯಸುತ್ತೀರಿ?,Kannada
ಈ ಕಥೆ ತುಂಬಾ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ.,Kannada
ನಾವು ಒಳ್ಳೆಯ ಪುಸ್ತಕಗಳನ್ನು ಓದಬೇಕು.,Kannada
ಇಲ್ಲಿ ಕೆಲಸ ಮಾಡುವುದು ತುಂಬಾ ಕಷ್ಟ.,Kannada
ಅವರು ಒಳ್ಳೆಯ ಶಿಕ್ಷಕ.,Kannada
ಇದು ನನ್ನ ಸ್ನೇಹಿತನ ಪುಸ್ತಕ.,Kannada
ನೀವು ಯಾವಾಗ ಮನೆಗೆ ಹೋಗುವುದೀರಿ?,Kannada
ಅವಳು ಹೊಸ ಪುಸ್ತಕಗಳನ್ನು ಖರೀದಿಸುತ್ತಾಳೆ.,Kannada
ನಾನು ಹೊಸ ಹಾಡು ಬರೆದಿದ್ದೇನೆ.,Kannada
ಈ ಮೋಡ ತುಂಬಾ ಕಪ್ಪಾಗಿದೆ.,Kannada
ಈ ನೆಲ ಆಟವಾಡಲು ಸೂಕ್ತವಾಗಿದೆ.,Kannada
ನಾನು ಹೊಸ ಬಟ್ಟೆಯನ್ನು ಕೊಂಡಿದ್ದೇನೆ.,Kannada
ಇಲ್ಲಿ ಗಾಳಿ ತುಂಬಾ ಶೀತವಾಗಿದೆ.,Kannada
ನಾನು ನಿನ್ನೆ ಹೆಬ್ಬಾವು ನೋಡಿದ್ದೆ.,Kannada
ಇಲ್ಲಿ ಒಂದು ಚಿಕ್ಕ ಆಡು ಇದೆ.,Kannada
ನಾನು ಇದನ್ನು ಮೊದಲೇ ಓದಿದ್ದೆ.,Kannada
ಈ ದೇವಸ್ಥಾನ ತುಂಬಾ ದೊಡ್ಡದು.,Kannada
ಇಂದು ನಾವು ಒಂದು ಚಲನಚಿತ್ರ ನೋಡಲು ಹೋಗಿದ್ದೇವೆ.,Kannada
ಅವಳು ಒಳ್ಳೆಯ ನೃತ್ಯಕಲೆಗಾರ್ತಿ.,Kannada
ನಾನು ಪಾಕಶಾಸ್ತ್ರವನ್ನು ಮಾಡುವುದನ್ನು ಇಷ್ಟಪಡುತ್ತೇನೆ.,Kannada
ನನಗೆ ಇಂದ್ರಧನುಸ್ಸನ್ನು ನೋಡುವುದು ಇಷ್ಟವಾಗಿದೆ.,Kannada
ನಾವು ಎಲ್ಲರೂ ಕೆಲಸ ಮಾಡಬೇಕು.,Kannada
ಈ ಮರಗಳು ಹಸಿರಾಗಿವೆ.,Kannada
ನಾನು ಇಂದು ಪ್ರಾಣಿಗಳನ್ನು ನೋಡಿದ್ದೇನೆ.,Kannada
ಈ ಪುಸ್ತಕಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ.,Kannada
ನೀವು ಈಗ ಮನೆಗೆ ಹೋಗಬಹುದು.,Kannada
ನಾನು ಇಂದು ಕನ್ನಡಿಯನ್ನು ಬದಲಾಯಿಸಿದ್ದೇನೆ.,Kannada
ಇಲ್ಲಿ ತುಂಬಾ ಸ್ವಚ್ಛವಾಗಿದೆ.,Kannada
ನನಗೆ ಹೊಸ ಪಾತ್ರೆಗಳು ದೊರಕಿವೆ.,Kannada
ನಾವು ಪ್ರತಿದಿನವೂ ಒಂದು ಹಕ್ಕಿಯನ್ನು ನೋಡುತ್ತೇವೆ.,Kannada
ನಾನು ಅವನನ್ನು ಭೇಟಿಯಾಗಲು ಇಷ್ಟಪಡುತ್ತೇನೆ.,Kannada
ಈ ಸ್ಥಳ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ.,Kannada
ಈಗ ನೀವು ನಿಮ್ಮ ಮನೆಯನ್ನು ತೆರವು ಮಾಡಬಹುದು.,Kannada
